Property,Created By,Employee ID,Employee's name
Language:,Kira_skipper,EN/RU,EN/RU
Incorrect licenses found:,Kira_skipper,10,2
Comments:,Kira_skipper,,
Employee's name:,Kira_skipper,"@Kira_skipper ","@spat_sochi "
Employee ID:,Kira_skipper,16,24
Reward,Kira_skipper,15.0000 JOY,10.0000 JOY
Stake:,Kira_skipper,1.0000 MJOY,100.0000 kJOY
Member id,Kira_skipper,2228,1843
Total video verified:,Kira_skipper,196,117
Discord handle:,Kira_skipper,Skipper#0353,spat\_sochi#8803
Performance:,Kira_skipper,100%,100%
Found unplayable videos:,Kira_skipper,2,21
Worker id,Kira_skipper,5,1
Duplicates detected:,Kira_skipper,,3