Report,Term,Councils,Created By,Date,Status,Property,Summary
2 term report,2,"ismail_malik, isonar, abramaria_",leet_joy,14.01.2023 - 17.01.2023,Done,"February 1, 2023 11:23 AM",
3 term report,3,"l1dev, 0x2bc, jen4ph",leet_joy,17.01.2023 - 2.02.2023,Done,"February 2, 2023 2:01 PM",
4 term report,4,"ismail, songoku, isonar",leet_joy,3.02.2023 - 18.02.2023,Done,"April 2, 2023 12:16 PM",
5 term report,5,"jen4ph, l1dev, 0x2bc",leet_joy,18.02.2023 - 3.03.2023,Done,"March 5, 2023 5:24 PM",
8 term report,8,"0x2bc, jen4ph, chaos77",leet_joy,,Done,"April 17, 2023 10:24 PM",
7 term report,7,"adovrn, leet_joy, songoku",leet_joy,18.03.2023 - 2.04.2023,Done,"April 2, 2023 12:29 PM",
6 term report,6,"jen4ph, 0x2bc, tomato",leet_joy,3.03.2023 - 18.03.2023,Done,"March 18, 2023 3:44 PM",
9 term report,9,"chaos77, igrex, leet_joy",leet_joy,"April 17, 2023 → May 2, 2023",Done,"May 3, 2023 4:23 AM",
24 Report,24,,leet_joy,,Not started,"December 14, 2023 12:41 PM",
25 Plan,,,leet_joy,,Not started,"December 14, 2023 2:45 PM",
26 Plan,,,leet_joy,,Not started,"January 2, 2024 9:08 AM",
25 Report,25,,leet_joy,,Not started,"December 29, 2023 5:03 AM",
26 Report,25,,leet_joy,,Not started,"January 13, 2024 11:19 AM",
27 Plan,,,leet_joy,,Not started,"January 13, 2024 6:18 PM",
29 report,,,leet_joy,,Not started,"February 27, 2024 9:39 PM",
30 plan,,,leet_joy,,Not started,"March 13, 2024 2:56 PM",
30 report,,,leet_joy,,Not started,"March 14, 2024 3:52 AM",
31 plan,,,leet_joy,,Not started,"March 14, 2024 4:29 AM",
31 report,,,leet_joy,,Done,"April 11, 2024 2:12 PM",
32 plan,,,leet_joy,,Not started,"April 11, 2024 2:30 PM",
32 report,,,leet_joy,,Done,"May 9, 2024 9:46 AM",
33 plan,,,leet_joy,,Not started,"May 9, 2024 9:59 AM",
33 report,,,leet_joy,,Done,"June 6, 2024 9:50 AM",
34 plan,,,leet_joy,,Not started,"June 6, 2024 3:15 PM",
34 report,,,leet_joy,,Done,"July 4, 2024 2:56 PM",
35 plan,,,leet_joy,,Not started,"July 5, 2024 12:02 PM",
35 report,,,leet_joy,,Done,"August 1, 2024 5:09 PM",
36 report,,,leet_joy,,Done,"August 29, 2024 3:41 PM",
36 plan,,,leet_joy,,Not started,"August 4, 2024 3:06 PM",
36 report,,,leet_joy,,Done,"August 29, 2024 5:27 PM",
37 plan,,,leet_joy,,Not started,"August 29, 2024 7:06 PM",
37 report,,,leet_joy,,Done,"September 27, 2024 11:23 AM",
38 report,,,leet_joy,,Done,"October 24, 2024 7:36 PM",
38 plan,,,leet_joy,,Not started,"September 27, 2024 11:49 AM",
39 plan,,,leet_joy,,Not started,"November 27, 2024 12:26 PM",
39 report,,,leet_joy,,Not started,"November 27, 2024 1:42 PM",
40 plan,,,leet_joy,,Not started,"November 27, 2024 12:32 PM",
40 report,,,leet_joy,,Not started,"December 30, 2024 1:17 PM",
41 plan,,,leet_joy,,Not started,"January 6, 2025 5:20 PM",
,,,leet_joy,,Not started,"February 27, 2024 9:42 PM",
,,,leet_joy,,Not started,"March 13, 2024 2:53 PM",