bucket id,"dataObjectsSize, GB","dataObjectsSizeLIMIT, GB",Utilization,Numbers Of Bags,objNumber(beginning),"obj(beginning), bytes",objNumber(end),"obj(end), bytes"
0,"0,246357907","1862,645149",0%,1,40,264524788,40,264524788
1,"821,6078541","1862,645149",44%,631,14597,873801909245,14675,882657656993
2,"821,6078541","1303,851604",63%,631,14597,873801909245,14675,882657656993
3,"821,6078541","1303,851604",63%,631,14597,873801909245,14675,882657656993
4,"821,6078541","1862,645149",44%,631,14597,873801909245,14675,882657656993
6,"821,6078541","1862,645149",44%,631,14597,873801909245,14675,882657656993
8,"821,6078541","1396,983862",59%,631,14597,873801909245,14675,882657656993
9,"2,403237241","931,3225746",0%,1,12,2580456339,12,2580456339
12,0,"1396,983862",0%,0,0,0,2,13226270
10,"0,012317924","1396,983862",0%,1,0,0,2,13226270
11,"0,012317924","1396,983862",0%,1,n/a,n/a,n/a,n/a