Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],JSG Grading Status
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,0.333,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),"Document, Forum Post, Grade",,,Completed
WG Opportunities,HR,WORKER_OPPORTUNITIES_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),"Grade, Spot Check, Subscore",,,Completed
WG Opportunities,Storage,WORKER_OPPORTUNITIES_SCORE,0.167,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,"General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md), General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md)","Grade, Spot Check, Subscore",Subscore,,Completed
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,0.333,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"Grade, Spot Check, Subscore",Subscore,,Completed
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),"Grade, Spot Check, Subscore",,,Completed
Uploads,Storage,UPLOAD_SCORE,0.907,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md),Grade,Subscore,,Completed
Content Report,Content,REPORT_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),Forum Post,Subscore,,Completed
HR Report,HR,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,Subscore,,Completed
Forum Report,Forum,REPORT_SCORE,0,,,Forum Score (Council%209/Council%20Period%209/Forum%20Score%20a6dd10bcefcb450b906a2e86311f88dd.md),"Document, Forum Post, Grade, Subscore",,,Completed
Builders Report,Builders,REPORT_SCORE,0.6,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),"Document, Forum Post, Grade, Subscore",Subscore,,Completed
Storage Report,Storage,REPORT_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md),"Document, Forum Post, Grade, Proposal, Report",Subscore,,Completed
Distributors Report,Distributors,REPORT_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md),"Document, Forum Post, Grade, Subscore",Subscore,,Completed
Maintenance,Storage,MAINTENANCE_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#maintenance_score,,Storage Score (Council%209/Council%20Period%209/Storage%20Score%20425b22fc33c342e9af5fc54c7e4691f1.md),Grade,Subscore,,Completed
Research Score,Distributors,RESEARCH_SCORE,0,,,,,,,Completed
Research Score,Storage,RESEARCH_SCORE,0,,,,,,,Completed
Thumbnails,Distributors,THUMBNAIL_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,Distributor Score (Council%209/Council%20Period%209/Distributor%20Score%20356fd26e79c746bfa5332f7e65ae7c52.md),"Grade, Spot Check, Subscore",Subscore,,Completed
Testing,Builders,TESTING_SCORE,0.6,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),"Grade, Spot Check, Subscore",Subscore,,Completed
Pioneer Development,Builders,PIONEER_DEVELOPMENT_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),"Grade, Spot Check, Subscore",Subscore,,Completed
General Development,Builders,GENERAL_DEVELOPMENT_SCORE,0.6,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Builder Score (Council%209/Council%20Period%209/Builder%20Score%2072609d857cd44aaf919ac15aa42caa9d.md),"Grade, Spot Check, Subscore",Subscore,,Completed
Featuring Score,Content,FEATURING_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,"Logging Score (Council%209/Council%20Period%209/Logging%20Score%2085ccc9bf9360468da8324e3083c389e7.md), Hero Score (Council%209/Council%20Period%209/Hero%20Score%2043265cf6e392413a8dfc333f22e17949.md), Categories Score (Council%209/Council%20Period%209/Categories%20Score%2005752e9a328a428c99f60b82fee1800d.md)",Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,Subscore,,Completed
Moderation Score,Forum,MODERATION_SCORE,0.5,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,,Forum Score (Council%209/Council%20Period%209/Forum%20Score%20a6dd10bcefcb450b906a2e86311f88dd.md),"Grade, Spot Check",,,Completed
Moderation Score,Content,MODERATION_SCORE,0.182,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,"Response Score (Council%209/Council%20Period%209/Response%20Score%2017aa349466b649ae81600aee4664bfd2.md), Total Breaches of Policy (Council%209/Council%20Period%209/Total%20Breaches%20of%20Policy%20708defc211554e779ec574ee5b55a938.md)",Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),,,,Completed
Response Time,HR,RESPONSE_TIME_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,Subscore,,Completed
Person Logging Score,HR,PERSON_LOGGING_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,Subscore,,Completed
Interaction Logging Score,HR,INTERACTION_LOGGING_SCORE,0.538,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,Subscore,,Completed
Bounty Score,Forum,BOUNTY_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),,,,Completed
Bounty Score,HR,BOUNTY_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),,,,Completed
Bounty Score,Storage,BOUNTY_SCORE,0.7,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md),,,,Completed
Bounty Score,Distributors,BOUNTY_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md),,,,Completed
Bounty Score,Content,BOUNTY_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),,,,Completed
Bounty Score,Builders,BOUNTY_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md),,,,Completed
Bounty Score,HR,BOUNTY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,HR Score (Council%209/Council%20Period%209/HR%20Score%200d725a2e93344db29ba568de6312d77a.md),,Subscore,,Completed
Categories Score,Content,CATEGORIES_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md),,,,Completed
Hero Score,Content,HERO_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md),,,,Completed
Logging Score,Content,LOGGING_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,Featuring Score (Council%209/Council%20Period%209/Featuring%20Score%204dff73d7044f408b969e86936b02c842.md),,,,Completed
Response Score,Content,RESPONSE_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20ad40d08b7c684ebf9379c7c3a1c87cc5.md),,,,Completed
Total Breaches of Policy,Content,TOTAL_BREACHES_OF_POLICY,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Moderation Score (Council%209/Council%20Period%209/Moderation%20Score%20ad40d08b7c684ebf9379c7c3a1c87cc5.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
Category Score,Forum,CATEGORY_SCORE,0.5,,,,,,,Completed
Meeting score,Council,MEETING_SCORE,0.6,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,Network Performance Score (Council%209/Council%20Period%209/Network%20Performance%20Score%20b5d67b08236940ae8249140591d8fe47.md),"Forum Post, Subscore",Main Score,,Completed
Opening Score,HR,OPENING_SCORE,0.833,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20ffcbe9f8fdbb40a3a552709b92a95b84.md),,,,Completed
Opening Score,Forum,OPENING_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%208b96e578dcfd429798d14c9fc6bf3e7e.md),,,,Completed
Opening Score,Storage,OPENING_SCORE,0.333,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%2009a3e93e9e094e2a92333a95a5ed0c43.md),,,,Completed
Opening Score,Distributors,OPENING_SCORE,0.271,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%201eb9c121a68f47ca9cc3720f887a4510.md),,,,Completed
Opening Score,Content,OPENING_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20125ce0c2289042aa987a6a71cb6c8dd3.md),,,,Completed
Opening Score,Builders,OPENING_SCORE,0.667,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%209/Council%20Period%209/General%20WG%20Score%20cfcf8f8f05c343ed81ece171d89bc76b.md),,,,Completed
Missed runtime upgrade,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Unwarranted deletion,Forum,,0,,,,Catastrophic Errors,,,Completed
Member Faucet Empty,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Inadequate Report,HR,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,,"Catastrophic Errors, Grade, Spot Check",,,Completed
Failure to apply moderation rules,Content,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
Total $tJOY exceeds tJOY_BUDGET,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Permanent Data Object Loss,Storage,,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Upgrading non-Jsgesnesis runtime,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Incorrect Reporting,Storage,,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
On chain Budget and Opening proposals without JOY equivalent,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
No available sources for data object,Distributors,,0,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check, Subscore",Subscore,,Completed
Logging does not occur,Content,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
Council Period Parameters,JSG,,,,,,,,,Completed
Missing Judgement,HR,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,,"Catastrophic Errors, Grade, Spot Check",,,Completed
Featured Content Unplayable,Content,,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,Content Score (Council%209/Council%20Period%209/Content%20Score%20a3aabbae48374ae9b6f6933504efed94.md),"Catastrophic Errors, Grade, Spot Check",,,Completed
Block time too low,Council,,0,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,,,"Catastrophic Errors, Grade, Spot Check",Subscore,,Completed
Violation of Content Policy,Forum,,0,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,,Catastrophic Errors,,,Completed